Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,33,21,7,5,63,26,+37,70,2.12,WWWLL,"60,216",Viktor Gyökeres-12,David Raya,
2,Manchester City,32,20,7,5,65,29,+36,67,2.09,WDDWW,"52,219",Erling Haaland-23,Gianluigi Donnarumma,
3,Manchester Utd,33,16,10,7,58,45,+13,58,1.76,LWDLW,"73,964","Bryan Mbeumo,Benjamin Šeško-9",Senne Lammens,
4,Aston Villa,33,17,7,9,47,41,+6,58,1.76,LLWDW,"41,885",Ollie Watkins-11,Emiliano Martínez,
5,Liverpool,33,16,7,10,54,43,+11,55,1.67,LDLWW,"60,370",Hugo Ekitike-11,Alisson,
6,Chelsea,33,13,9,11,53,42,+11,48,1.45,WLLLL,"39,601",João Pedro-14,Robert Sánchez,
7,Brentford,33,13,9,11,48,44,+4,48,1.45,DDDDD,"17,117",Igor Thiago-21,Caoimhín Kelleher,
8,Bournemouth,33,11,15,7,50,50,0,48,1.45,DDDWW,"11,172","Antoine Semenyo,Eli Junior Kroupi-10",Đorđe Petrović,
9,Brighton,33,12,11,10,45,39,+6,47,1.42,LWWWD,"31,365",Danny Welbeck-12,Bart Verbruggen,
10,Everton,33,13,8,12,40,39,+1,47,1.42,WLWDL,"52,163",Beto-8,Jordan Pickford,
11,Sunderland,33,12,10,11,36,40,-4,46,1.39,WLWWL,"46,366",Brian Brobbey-6,Robin Roefs,
12,Fulham,33,13,6,14,43,46,-3,45,1.36,LDWLD,"27,136",Harry Wilson-10,Bernd Leno,
13,Crystal Palace,32,11,10,11,35,36,-1,43,1.34,LWDWD,"24,988",Jean-Philippe Mateta-10,Dean Henderson,
14,Newcastle United,33,12,6,15,46,49,-3,42,1.27,WWLLL,"52,103",Bruno Guimarães-9,Nick Pope,
15,Leeds United,33,9,12,12,42,49,-7,39,1.18,LDDWW,"36,709",Dominic Calvert-Lewin-11,Karl Darlow,
16,Nottingham Forest,33,9,9,15,36,45,-9,36,1.09,DDWDW,"30,391",Morgan Gibbs-White-12,Matz Sels,
17,West Ham United,33,8,9,16,40,57,-17,33,1.00,WDLWD,"62,455",Jarrod Bowen-8,Alphonse Areola,
18,Tottenham Hotspur,33,7,10,16,42,53,-11,31,0.94,LDLLD,"60,952",Richarlison-9,Guglielmo Vicario,
19,Burnley,33,4,8,21,34,67,-33,20,0.61,LDLLL,"20,974",Zian Flemming-9,Martin Dúbravka,
20,Wolves,33,3,8,22,24,61,-37,17,0.52,WWDLL,"29,851","Tolu Arokodare,Rodrigo Gomes-3",José Sá,
